Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
"Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour","thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour",3.333.333.333.333.330,33.333.333.333.333.300,no,"Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour",Metaphors in medical texts
Hannah added:,hannah added:,6.666.666.666.666.660,33.333.333.333.333.300,yes,Hannah added:,,,,,,
If a pathogen does enter the body then the immune system helps to fight it off,if a pathogen does enter the body then the immune system helps to fight it off,1.0,1.0,yes,If a pathogen does enter the body then the immune system helps to fight it off,MEDICINE_IS_WAR,,,,If a pathogen does enter the body then the immune system helps to fight it off,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade","in 2015, lisa nicole carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade",1.0,1.0,yes,"In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade",MEDICINE_IS_WAR,,,,"In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"He added: 'I had a few brutal panic attacks, which is why I quit'","he added: 'i had a few brutal panic attacks, which is why i quit",3.333.333.333.333.330,33.333.333.333.333.300,no,"He added: 'I had a few brutal panic attacks, which is why I quit'",DISEASE_IS_A_PHYSICAL_ENTITY,,,,"He added: 'I had a few brutal panic attacks, which is why I quit' ","dailymail.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
RNA polymerase begins transcription at a promoter initiation site that lies,rna polymerase begins transcription at a promoter initiation site that lies,0.5,0.0,Tie,RNA polymerase begins transcription at a promoter initiation site that lies,,,,,,
"Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations","both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these t-cell populations",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations",Metaphors in medical texts
a tumor cell might move out into the surrounding host tissue and also exert a,a tumor cell might move out into the surrounding host tissue and also exert a,3.333.333.333.333.330,33.333.333.333.333.300,no,a tumor cell might move out into the surrounding host tissue and also exert a,,,,,,
"It wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges","it wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges",0.0,1.0,no,"It wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges",MEDICINE_IS_AGRICULTURE,,,,"It wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell,some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell,1.15,0.5,yes,Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell,Metaphors in medical texts
to avoid damage to body barriers,to avoid damage to body barriers,1.0,1.0,yes,to avoid damage to body barriers,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,to avoid damage to body barriers,Metaphors in medical texts
The 3' untranslated portion of the message,the 3' untranslated portion of the message,0.5,0.0,Tie,The 3' untranslated portion of the message,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",The 3' untranslated portion of the message,Metaphors in medical texts
The whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.,the whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.,1.0,1.0,yes,The whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",The whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.,Metaphors in medical texts
Some of these transport mechanisms,some of these transport mechanisms,3.333.333.333.333.330,33.333.333.333.333.300,no,Some of these transport mechanisms,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",Some of these transport mechanisms,Metaphors in medical texts
neoplasms can be heterogeneous in their propensity to invade and metastasize,neoplasms can be heterogeneous in their propensity to invade and metastasize,3.333.333.333.333.330,33.333.333.333.333.300,no,neoplasms can be heterogeneous in their propensity to invade and metastasize,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,neoplasms can be heterogeneous in their propensity to invade and metastasize,Metaphors in medical texts
"experts believe infection may cause blood clots, heart attacks and cardiac inflammation","experts believe infection may cause blood clots, heart attacks and cardiac inflammation",0.0,1.0,no,"experts believe infection may cause blood clots, heart attacks and cardiac inflammation",MEDICINE_IS_WAR,,,,"experts believe infection may cause blood clots, heart attacks and cardiac inflammation","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...,a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...,0.25,0.5,no,a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...,A_CELL_IS_A_MACHINE,,,Machine and mechanism,a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...,Metaphors in medical texts
these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign DNA,these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign dna,0.5,0.0,Tie,these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign DNA,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign DNA,Metaphors in medical texts
The synthetic,the synthetic,0.5,0.0,Tie,The synthetic,,,,,,
Diabetes destroyer,diabetes destroyer,1.0,1.0,yes,Diabetes destroyer,DIABETES IS WAR,,Experience of disease,,Diabetes destroyer,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
The homing potential of cells is affacted by radiation,the homing potential of cells is affacted by radiation,6.666.666.666.666.660,33.333.333.333.333.300,yes,The homing potential of cells is affacted by radiation,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,The homing potential of cells is affacted by radiation,Metaphors in medical texts
